City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,codrington,-38.2667,141.9667,6.22,76,13,2.45,AU,1689691102
1,rapid city,44.0805,-103.231,25.61,70,0,3.09,US,1689691334
2,klyuchi,52.2667,79.1667,23.48,39,82,3.74,RU,1689691055
3,adamstown,-25.066,-130.1015,20.95,79,89,3.31,PN,1689691023
4,hawaiian paradise park,19.5933,-154.9731,24.73,91,75,3.6,US,1689691052
5,hamilton,39.1834,-84.5333,24.01,86,0,4.63,US,1689691335
6,broadstairs,51.3591,1.4394,22.65,60,75,4.47,GB,1689691335
7,albany,42.6001,-73.9662,27.12,76,37,0.45,US,1689690801
8,flying fish cove,-10.4217,105.6791,24.82,78,75,6.17,CX,1689691335
9,les avirons,-21.2418,55.3394,21.05,73,0,6.69,RE,1689691130
10,waitangi,-43.9535,-176.5597,10.46,86,68,3.13,NZ,1689691036
11,sao vicente,-23.9631,-46.3919,22.1,100,100,1.03,BR,1689691047
12,baijiantan,45.6333,85.1833,34.49,19,3,2.7,CN,1689691336
13,sligo,54.2697,-8.4694,19.22,88,40,5.66,IE,1689691086
14,bayanhongor,46.7167,100.1167,12.93,62,99,3.11,MN,1689691336
15,petropavlovsk-kamchatsky,53.0452,158.6483,11.33,100,0,2.0,RU,1689691038
16,la'ie,21.6477,-157.9253,25.98,82,41,4.02,US,1689691061
17,bilibino,68.0546,166.4372,12.95,85,15,0.64,RU,1689691021
18,talnakh,69.4865,88.3972,13.01,85,100,5.75,RU,1689691052
19,akureyri,65.6835,-18.0878,7.96,81,100,7.2,IS,1689691079
20,iqaluit,63.7506,-68.5145,5.85,100,100,2.57,CA,1689691078
21,seka,17.9285,103.9552,25.56,93,100,2.37,TH,1689691337
22,edinburgh of the seven seas,-37.0676,-12.3116,14.2,90,100,13.1,SH,1689691027
23,atafu village,-8.5421,-172.5159,27.16,83,74,3.52,TK,1689691025
24,lihue,21.9789,-159.3672,24.77,89,100,9.26,US,1689691033
25,arraial do cabo,-22.9661,-42.0278,22.98,83,40,3.6,BR,1689691032
26,cajabamba,-7.6167,-78.05,16.11,52,12,3.11,PE,1689691338
27,opuwo,-18.0607,13.84,25.16,11,0,3.97,NA,1689691338
28,novaya igirma,57.1334,103.9112,13.49,66,19,0.32,RU,1689691338
29,badger,64.8,-147.5333,16.93,85,75,2.57,US,1689690990
30,thompson,55.7435,-97.8558,15.09,82,20,1.03,CA,1689691034
31,pisco,-13.7,-76.2167,19.45,72,100,4.63,PE,1689691117
32,bethel,41.3712,-73.414,28.14,76,0,3.09,US,1689691026
33,iskateley,67.6803,53.1512,19.54,74,99,1.11,RU,1689691037
34,priargunsk,50.3691,119.1012,18.15,91,100,1.48,RU,1689691339
35,mossel bay,-34.1831,22.146,18.96,84,22,9.93,ZA,1689691132
36,yellowknife,62.456,-114.3525,17.29,67,100,3.09,CA,1689691039
37,anadyr,64.75,177.4833,17.28,72,0,3.0,RU,1689691051
38,west island,-12.1568,96.8225,25.99,78,75,9.26,CC,1689691027
39,longyearbyen,78.2186,15.6401,9.91,62,0,5.14,SJ,1689691036
40,stanley,54.868,-1.6985,14.29,91,75,1.03,GB,1689691040
41,ikwiriri,-7.9562,38.9716,25.59,67,5,3.85,TZ,1689691340
42,mandera,3.9366,41.867,33.36,29,55,8.21,KE,1689691340
43,shimoda,34.6667,138.95,25.94,89,100,3.52,JP,1689691340
44,nuku'alofa,-21.1333,-175.2,20.19,77,20,4.63,TO,1689691126
45,governador valadares,-18.8511,-41.9494,31.04,36,10,2.03,BR,1689691282
46,port-aux-francais,-49.35,70.2167,5.09,83,84,16.23,TF,1689690935
47,tidjikja,18.5564,-11.4271,38.52,25,98,5.61,MR,1689691341
48,puerto natales,-51.7236,-72.4875,-5.75,86,40,2.06,CL,1689691023
49,aykhal,66.0,111.5,11.44,82,22,5.29,RU,1689690814
50,east london,-33.0153,27.9116,19.65,65,20,4.69,ZA,1689690838
51,dalnerechensk,45.9339,133.7225,19.63,93,62,0.48,RU,1689691341
